elimfilters_sku,source_sku,segment,oem_count,oem_brand,oem_code,recovery_score,recovery_tier
EC56053,CU26053,Cabin Filter,0,,,0,TIER_E
EC52649,CU2649,Cabin Filter,0,,,0,TIER_E
EC56721,CU2672/1,Cabin Filter,0,,,0,TIER_E
EC57029,CU27029,Cabin Filter,0,,,0,TIER_E
EC57033,CU27033,Cabin Filter,0,,,0,TIER_E
EC57362,CU2736/2,Cabin Filter,0,,,0,TIER_E
EC52745,CU2745,Cabin Filter,0,,,0,TIER_E
EC57452,CU2745/2,Cabin Filter,0,,,0,TIER_E
EC50101,CU28010/1,Cabin Filter,0,,,0,TIER_E
EC58082,CU2808/2,Cabin Filter,0,,,0,TIER_E
EC52829,CU2829,Cabin Filter,0,,,0,TIER_E
EC58291,CU2829/1,Cabin Filter,0,,,0,TIER_E
EC52836,CU2836,Cabin Filter,0,,,0,TIER_E
EC52845,CU2845,Cabin Filter,0,,,0,TIER_E
EC58561,CU2856/1,Cabin Filter,0,,,0,TIER_E
EC58562,CU2856/2,Cabin Filter,0,,,0,TIER_E
EC52862,CU2862,Cabin Filter,0,,,0,TIER_E
EC58971,CU2897/1,Cabin Filter,0,,,0,TIER_E
EC50022,CU29002/2,Cabin Filter,0,,,0,TIER_E
EC59003,CU29003,Cabin Filter,0,,,0,TIER_E
EC50032,CU29003/2,Cabin Filter,0,,,0,TIER_E
EC52939,CU2939M,Cabin Filter,0,,,0,TIER_E
EC59412,CU2941/2,Cabin Filter,0,,,0,TIER_E
EC52949,CU2949,Cabin Filter,0,,,0,TIER_E
EC59492,CU2949/2,Cabin Filter,0,,,0,TIER_E
EC59493,CU2949/3,Cabin Filter,0,,,0,TIER_E
EC52955,CU2955,Cabin Filter,0,,,0,TIER_E
EC59562,CU2956/2,Cabin Filter,0,,,0,TIER_E
EC50002,CU30002,Cabin Filter,0,,,0,TIER_E
EC50024,CU30024,Cabin Filter,0,,,0,TIER_E
EC50232,CU3023/2,Cabin Filter,0,,,0,TIER_E
EC50332,CU3033/2,Cabin Filter,0,,,0,TIER_E
EC53034,CU3034,Cabin Filter,0,,,0,TIER_E
EC50392,CU3039/2,Cabin Filter,0,,,0,TIER_E
EC53042,CU3042,Cabin Filter,0,,,0,TIER_E
EC53043,CU3043,Cabin Filter,0,,,0,TIER_E
EC51012,CU31012,Cabin Filter,0,,,0,TIER_E
EC51242,CU3124/2,Cabin Filter,0,,,0,TIER_E
EC51392,CU3139/2,Cabin Filter,0,,,0,TIER_E
EC53146,CU3146,Cabin Filter,0,,,0,TIER_E
EC53162,CU3162,Cabin Filter,0,,,0,TIER_E
EC53241,CU3241,Cabin Filter,0,,,0,TIER_E
EC53348,CU3348,Cabin Filter,0,,,0,TIER_E
EC53749,CU33749,Cabin Filter,0,,,0,TIER_E
EC50310,CU3403/10,Cabin Filter,0,,,0,TIER_E
EC54741,CU3474/1,Cabin Filter,0,,,0,TIER_E
EC53553,CU3553,Cabin Filter,0,,,0,TIER_E
EC56001,CU36001,Cabin Filter,1,HISPACOLD,9327326,20,TIER_D
EC56044,CU36044,Cabin Filter,0,,,0,TIER_E
EC56422,CU3642/2,Cabin Filter,0,,,0,TIER_E
EC58222,CU3822/2,Cabin Filter,0,,,0,TIER_E
EC59001,CU39001,Cabin Filter,0,,,0,TIER_E
EC59004,CU39004,Cabin Filter,0,,,0,TIER_E
EC53973,CU3973,Cabin Filter,0,,,0,TIER_E
EC53979,CU3979,Cabin Filter,0,,,0,TIER_E
EC54260,CU4260,Cabin Filter,0,,,0,TIER_E
EC54003,CU44003,Cabin Filter,0,,,0,TIER_E
EC56276,CU4627/6,Cabin Filter,0,,,0,TIER_E
EC53203,CU46320/3,Cabin Filter,0,,,0,TIER_E
EC50252,CU47025/2,Cabin Filter,0,,,0,TIER_E
EC52532,CU47025/3/2,Cabin Filter,0,,,0,TIER_E
EC57952,CU4795/2,Cabin Filter,0,,,0,TIER_E
EC50012,CU48001/2,Cabin Filter,0,,,0,TIER_E
EC51110,CU4811/10,Cabin Filter,0,,,0,TIER_E
EC52003,CU52003,Cabin Filter,0,,,0,TIER_E
EC54001,CU54001,Cabin Filter,1,HISPACOLD,9327327,20,TIER_D
EC50710,CU5407/10,Cabin Filter,0,,,0,TIER_E
EC54192,CU54192,Cabin Filter,0,,,0,TIER_E
EC52010,CU5620/10,Cabin Filter,0,,,0,TIER_E
EC57003,CU57003,Cabin Filter,0,,,0,TIER_E
EC50004,CU81000/4,Cabin Filter,0,,,0,TIER_E
EC51810,CU9018(10),Cabin Filter,0,,,0,TIER_E
EC51810,CU9018/10,Cabin Filter,0,,,0,TIER_E
EC52110,CU9321(10),Cabin Filter,0,,,0,TIER_E
EC52110,CU9321/10,Cabin Filter,0,,,0,TIER_E
EC50191,CUD20019/1,Cabin Filter,0,,,0,TIER_E
EC54110,CUD4110,Cabin Filter,1,NEW HOLLAND (CNH),87677454,20,TIER_D
EC51004,CUD51004,Cabin Filter,0,,,0,TIER_E
EC55001,CUD55001,Cabin Filter,0,,,0,TIER_E
EC50003,CUK10003,Cabin Filter,0,,,0,TIER_E
EC54003,CUK14003,Cabin Filter,0,,,0,TIER_E
EC54010,CUK14010,Cabin Filter,0,,,0,TIER_E
EC55003,CUK15003,Cabin Filter,0,,,0,TIER_E
EC56011,CUK16011,Cabin Filter,0,,,0,TIER_E
EC57005,CUK17005,Cabin Filter,0,,,0,TIER_E
EC57010,CUK17010,Cabin Filter,0,,,0,TIER_E
EC50002,CUK18000/2,Cabin Filter,0,,,0,TIER_E
EC58004,CUK18004,Cabin Filter,0,,,0,TIER_E
EC58010,CUK18010,Cabin Filter,0,,,0,TIER_E
EC58013,CUK18013,Cabin Filter,0,,,0,TIER_E
EC58202,CUK1820/2,Cabin Filter,0,,,0,TIER_E
EC59001,CUK19001,Cabin Filter,0,,,0,TIER_E
EC50042,CUK19004/2,Cabin Filter,0,,,0,TIER_E
EC59013,CUK19013,Cabin Filter,0,,,0,TIER_E
EC59019,CUK19019,Cabin Filter,0,,,0,TIER_E
EC59020,CUK19020,Cabin Filter,0,,,0,TIER_E
EC59021,CUK19021,Cabin Filter,0,,,0,TIER_E
EC59022,CUK19022,Cabin Filter,0,,,0,TIER_E
EC59031,CUK19031,Cabin Filter,0,,,0,TIER_E
EC59312,CUK1931/2,Cabin Filter,0,,,0,TIER_E
EC50002,CUK20000/2,Cabin Filter,0,,,0,TIER_E
EC50003,CUK20003,Cabin Filter,0,,,0,TIER_E
EC50017,CUK20017,Cabin Filter,0,,,0,TIER_E
EC50027,CUK20027,Cabin Filter,0,,,0,TIER_E
EC50032,CUK20032,Cabin Filter,0,,,0,TIER_E
EC50033,CUK20033,Cabin Filter,0,,,0,TIER_E
EC50034,CUK20034,Cabin Filter,0,,,0,TIER_E
EC50035,CUK20035,Cabin Filter,0,,,0,TIER_E
EC50036,CUK20036,Cabin Filter,0,,,0,TIER_E
EC50043,CUK20043,Cabin Filter,0,,,0,TIER_E
EC50044,CUK20044,Cabin Filter,0,,,0,TIER_E
EC50047,CUK20047,Cabin Filter,0,,,0,TIER_E
EC50048,CUK20048,Cabin Filter,0,,,0,TIER_E
EC50050,CUK20050,Cabin Filter,0,,,0,TIER_E
EC50052,CUK20052,Cabin Filter,0,,,0,TIER_E
EC50053,CUK20053,Cabin Filter,0,,,0,TIER_E
EC50057,CUK20057,Cabin Filter,0,,,0,TIER_E
EC50058,CUK20058,Cabin Filter,0,,,0,TIER_E
EC50612,CUK20061/2,Cabin Filter,0,,,0,TIER_E
EC50632,CUK20063/2,Cabin Filter,0,,,0,TIER_E
EC50064,CUK20064,Cabin Filter,0,,,0,TIER_E
EC50065,CUK20065,Cabin Filter,0,,,0,TIER_E
EC50066,CUK20066,Cabin Filter,0,,,0,TIER_E
EC50067,CUK20067,Cabin Filter,0,,,0,TIER_E
EC50068,CUK20068,Cabin Filter,0,,,0,TIER_E
EC50070,CUK20070,Cabin Filter,0,,,0,TIER_E
EC50071,CUK20071,Cabin Filter,0,,,0,TIER_E
EC50872,CUK20087/2,Cabin Filter,0,,,0,TIER_E
EC50962,CUK20096/2,Cabin Filter,0,,,0,TIER_E
EC50301,CUK2030/1,Cabin Filter,0,,,0,TIER_E
EC50332,CUK2033/2,Cabin Filter,0,,,0,TIER_E
EC52043,CUK2043M,Cabin Filter,0,,,0,TIER_E
EC50002,CUK21000/2,Cabin Filter,0,,,0,TIER_E
EC51010,CUK21010,Cabin Filter,0,,,0,TIER_E
EC51017,CUK21017,Cabin Filter,0,,,0,TIER_E
EC51018,CUK21018,Cabin Filter,0,,,0,TIER_E
EC51019,CUK21019,Cabin Filter,0,,,0,TIER_E
EC51020,CUK21020,Cabin Filter,0,,,0,TIER_E
EC51023,CUK21023,Cabin Filter,0,,,0,TIER_E
EC51024,CUK21024,Cabin Filter,0,,,0,TIER_E
EC51026,CUK21026,Cabin Filter,0,,,0,TIER_E
EC51028,CUK21028,Cabin Filter,0,,,0,TIER_E
EC51029,CUK21029,Cabin Filter,0,,,0,TIER_E
EC51030,CUK21030,Cabin Filter,0,,,0,TIER_E
EC51031,CUK21031,Cabin Filter,0,,,0,TIER_E
EC51032,CUK21032,Cabin Filter,0,,,0,TIER_E
EC51034,CUK21034,Cabin Filter,0,,,0,TIER_E
EC51036,CUK21036,Cabin Filter,0,,,0,TIER_E
EC51038,CUK21038,Cabin Filter,0,,,0,TIER_E
EC50462,CUK21046/2,Cabin Filter,0,,,0,TIER_E
EC51047,CUK21047,Cabin Filter,0,,,0,TIER_E
EC51048,CUK21048,Cabin Filter,0,,,0,TIER_E
EC51052,CUK21052,Cabin Filter,0,,,0,TIER_E
EC50662,CUK21066/2,Cabin Filter,0,,,0,TIER_E
EC51074,CUK21074,Cabin Filter,0,,,0,TIER_E
EC51085,CUK21085,Cabin Filter,0,,,0,TIER_E
EC50862,CUK21086/2,Cabin Filter,0,,,0,TIER_E
EC51091,CUK21091,Cabin Filter,0,,,0,TIER_E
EC51112,CUK2111/2,Cabin Filter,0,,,0,TIER_E
EC52141,CUK2141M,Cabin Filter,0,,,0,TIER_E
EC52000,CUK22000,Cabin Filter,0,,,0,TIER_E
EC50001,CUK22000/1,Cabin Filter,0,,,0,TIER_E
EC50002,CUK22000/2,Cabin Filter,0,,,0,TIER_E
EC50041,CUK22004/1,Cabin Filter,0,,,0,TIER_E
EC50084,CUK22008/4,Cabin Filter,0,,,0,TIER_E
EC52011,CUK22011M,Cabin Filter,0,,,0,TIER_E
EC50202,CUK22020/2,Cabin Filter,0,,,0,TIER_E
EC52022,CUK22022M,Cabin Filter,0,,,0,TIER_E
EC52032,CUK22032M,Cabin Filter,0,,,0,TIER_E
EC52040,CUK22040,Cabin Filter,0,,,0,TIER_E
EC52043,CUK22043,Cabin Filter,0,,,0,TIER_E
EC52048,CUK22048,Cabin Filter,0,,,0,TIER_E
EC52049,CUK22049,Cabin Filter,0,,,0,TIER_E
EC52050,CUK22050,Cabin Filter,0,,,0,TIER_E
EC50522,CUK22052/2,Cabin Filter,0,,,0,TIER_E
EC52061,CUK22061,Cabin Filter,0,,,0,TIER_E
EC52062,CUK22062,Cabin Filter,0,,,0,TIER_E
