"elimfilters_sku","source_sku","segment","has_oem","has_competitor","has_applications","has_specifications","production_tier"
"EA51381","C14138/1","Air Filter","1","0","1","1","TIER_P5"
"EA54139","C14139","Air Filter","0","0","1","1","TIER_P5"
"EA54140","C14140","Air Filter","1","0","1","1","TIER_P5"
"EA51415","C1415","Air Filter","0","1","0","1","TIER_P4"
"EA54150","C14150","Air Filter","0","0","1","1","TIER_P5"
"EA54153","C14153","Air Filter","1","0","1","1","TIER_P5"
"EA54159","C14159","Air Filter","1","0","1","1","TIER_P5"
"EA51591","C14159/1","Air Filter","1","1","0","0","TIER_P3"
"EA54160","C14160","Air Filter","0","1","1","1","TIER_P4"
"EA54160","C14160X","Air Filter","1","0","1","1","TIER_P5"
"EA51661","C14166/1","Air Filter","0","0","1","1","TIER_P5"
"EA54168","C14168","Air Filter","1","0","1","1","TIER_P5"
"EA51417","C1417","Air Filter","1","0","1","1","TIER_P5"
"EA54171","C14171","Air Filter","0","0","1","1","TIER_P5"
"EA54176","C14176","Air Filter","1","0","1","1","TIER_P5"
"EA54177","C14177","Air Filter","0","0","1","1","TIER_P5"
"EA54178","C14178","Air Filter","1","0","1","1","TIER_P5"
"EA54179","C14179","Air Filter","0","1","1","1","TIER_P4"
"EA51791","C14179/1","Air Filter","1","0","1","1","TIER_P5"
"EA51792","C14179/2","Air Filter","1","0","1","1","TIER_P5"
"EA51793","C14179/3","Air Filter","0","0","1","1","TIER_P5"
"EA51794","C14179/4","Air Filter","1","0","1","1","TIER_P5"
"EA51795","C14179/5X","Air Filter","0","0","1","1","TIER_P5"
"EA54179","C14179X","Air Filter","1","1","1","1","TIER_P1"
"EA54190","C14190","Air Filter","1","1","1","1","TIER_P1"
"EA51901","C14190/1","Air Filter","0","0","1","1","TIER_P5"
"EA54200","C14200","Air Filter","1","1","1","1","TIER_P1"
"EA52001","C14200/1","Air Filter","0","0","1","1","TIER_P5"
"EA52002","C14200/2","Air Filter","0","0","1","1","TIER_P5"
"EA52003","C14200/3","Air Filter","1","1","1","1","TIER_P1"
"EA52006","C142006","Air Filter","1","0","1","1","TIER_P5"
"EA52021","C14202/1","Air Filter","0","1","1","1","TIER_P4"
"EA52102","C14210/2","Air Filter","1","1","1","1","TIER_P1"
"EAC1423","C1423","Air Filter","0","0","0","0","TIER_P5"
"EAC1423200","C1423/200","Air Filter","0","0","0","0","TIER_P5"
"EA54230","C14230","Air Filter","1","0","1","1","TIER_P5"
"EA51424","C1424","Air Filter","0","1","0","0","TIER_P4"
"EAC14250","C14250","Air Filter","0","0","0","0","TIER_P5"
"EA51426","C1426","Air Filter","0","1","0","1","TIER_P4"
"EA51427","C1427","Air Filter","0","0","1","1","TIER_P5"
"EAC1429","C1429","Air Filter","0","0","0","0","TIER_P5"
"EA51430","C1430","Air Filter","1","0","1","1","TIER_P5"
"EA51440","C1440","Air Filter","0","1","1","1","TIER_P4"
"EA54401","C1440/1","Air Filter","1","0","1","1","TIER_P5"
"EA51449","C1449","Air Filter","1","0","1","1","TIER_P5"
"EA51450","C1450","Air Filter","1","0","1","1","TIER_P5"
"EA51451","C1451","Air Filter","0","0","1","1","TIER_P5"
"EA51460","C1460","Air Filter","1","0","1","1","TIER_P5"
"EA51465","C1465","Air Filter","0","1","1","1","TIER_P4"
"EA51468","C1468","Air Filter","1","0","1","1","TIER_P5"
"EA54681","C1468/1","Air Filter","0","1","0","1","TIER_P4"
"EA54682","C1468/2","Air Filter","0","0","1","1","TIER_P5"
"EA51470","C1470","Air Filter","0","1","0","1","TIER_P4"
"EA51472","C1472","Air Filter","1","0","1","1","TIER_P5"
"EA51476","C1476","Air Filter","0","1","0","0","TIER_P4"
"EA51478","C1478","Air Filter","0","0","1","1","TIER_P5"
"EA51480","C1480","Air Filter","1","0","1","1","TIER_P5"
"EA50149","C149","Air Filter","0","1","0","1","TIER_P4"
"EA55005","C15005","Air Filter","1","0","1","1","TIER_P5"
"EA55007","C15007","Air Filter","1","0","1","1","TIER_P5"
"EA55008","C15008","Air Filter","1","0","1","1","TIER_P5"
"EA55010","C15010","Air Filter","1","0","1","1","TIER_P5"
"EA55010","C15010M","Air Filter","0","1","0","0","TIER_P4"
"EA55011","C15011","Air Filter","1","1","1","1","TIER_P1"
"EAC15014","C15014","Air Filter","0","0","0","0","TIER_P5"
"EA55015","C15015","Air Filter","1","0","1","1","TIER_P5"
"EA55020","C15020","Air Filter","1","1","1","1","TIER_P1"
"EA50151","C151","Air Filter","0","1","0","1","TIER_P4"
"EA55100","C15100","Air Filter","1","1","1","1","TIER_P1"
"EA55101","C15101","Air Filter","0","0","1","1","TIER_P5"
"EAC15102","C15102","Air Filter","0","0","0","0","TIER_P5"
"EA51021","C15102/1","Air Filter","1","1","1","1","TIER_P1"
"EA55104","C15104","Air Filter","0","0","1","1","TIER_P5"
"EA55105","C15105","Air Filter","0","1","0","1","TIER_P4"
"EA51051","C15105/1","Air Filter","1","0","1","1","TIER_P5"
"EA55120","C15120","Air Filter","1","0","1","1","TIER_P5"
"EA51202","C15120/2","Air Filter","0","1","0","1","TIER_P4"
"EA55122","C15122","Air Filter","0","0","1","1","TIER_P5"
"EA55124","C15124","Air Filter","0","1","0","1","TIER_P4"
"EA51241","C15124/1","Air Filter","1","0","1","1","TIER_P5"
"EAC151242","C15124/2","Air Filter","1","0","0","1","TIER_P5"
"EAC151243","C15124/3","Air Filter","0","0","0","1","TIER_P5"
"EA51244","C15124/4","Air Filter","1","0","1","1","TIER_P5"
"EA51245","C15124/5","Air Filter","0","1","0","1","TIER_P4"
"EAC15126","C15126","Air Filter","0","0","0","1","TIER_P5"
"EA55127","C15127","Air Filter","1","0","1","1","TIER_P5"
"EA51271","C15127/1","Air Filter","1","0","1","1","TIER_P5"
"EA51272","C15127/2","Air Filter","1","0","1","1","TIER_P5"
"EA55130","C15130","Air Filter","0","0","1","1","TIER_P5"
"EAC15135","C15135","Air Filter","0","0","0","0","TIER_P5"
"EA55143","C15143","Air Filter","0","1","0","1","TIER_P4"
"EA51431","C15143/1","Air Filter","1","0","1","1","TIER_P5"
"EA55163","C15163","Air Filter","1","1","0","1","TIER_P3"
"EA51631","C15163/1","Air Filter","1","0","1","1","TIER_P5"
"EA55165","C15165","Air Filter","1","0","1","1","TIER_P5"
"EA51651","C15165/1","Air Filter","1","1","0","1","TIER_P3"
"EA51653","C15165/3","Air Filter","1","1","1","1","TIER_P1"
"EA51654","C15165/4","Air Filter","0","0","1","1","TIER_P5"
"EA51656","C15165/6","Air Filter","1","0","1","1","TIER_P5"
"EA51657","C15165/7","Air Filter","1","0","1","1","TIER_P5"
"EA55166","C15166","Air Filter","0","0","1","1","TIER_P5"
"EA51519","C1519","Air Filter","0","1","0","1","TIER_P4"
"EAC15190","C15190","Air Filter","0","0","0","0","TIER_P5"
"EA55200","C15200","Air Filter","1","0","1","1","TIER_P5"
"EAC1523","C1523","Air Filter","0","0","0","0","TIER_P5"
"EA55248","C15248","Air Filter","1","0","1","1","TIER_P5"
"EA55250","C15250","Air Filter","1","0","1","1","TIER_P5"
"EA55260","C15260","Air Filter","1","0","1","1","TIER_P5"
"EA55267","C15267","Air Filter","0","0","1","1","TIER_P5"
"EAC15272","C15272","Air Filter","0","0","0","0","TIER_P5"
"EAC152721","C15272/1","Air Filter","0","0","0","1","TIER_P5"
"EA55282","C1528/2","Air Filter","0","0","1","1","TIER_P5"
"EA55288","C15288","Air Filter","0","0","1","1","TIER_P5"
"EAC15291","C1529/1","Air Filter","0","0","0","1","TIER_P5"
"EAC15293","C1529/3","Air Filter","0","0","0","0","TIER_P5"
"EA51530","C1530","Air Filter","1","0","1","1","TIER_P5"
"EA55301","C1530/1","Air Filter","1","0","1","1","TIER_P5"
"EA55300","C15300","Air Filter","1","1","1","1","TIER_P1"
"EAC153002","C15300/2","Air Filter","0","0","0","1","TIER_P5"
"EA53003","C15300/3","Air Filter","1","0","1","1","TIER_P5"
"EAC153004","C15300/4","Air Filter","0","0","0","0","TIER_P5"
"EA50071","C153007/1","Air Filter","1","0","1","1","TIER_P5"
"EA51532","C1532","Air Filter","0","1","0","0","TIER_P4"
"EAC15321","C1532/1","Air Filter","0","0","0","1","TIER_P5"
"EAC15322","C1532/2","Air Filter","0","0","0","0","TIER_P5"
